"Bestaande koopwoningen; verkoopprijzen prijsindex 2015=100"
""
"";"Onderwerp"
"";"Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen";"Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode";"Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder";"Aantal verkochte woningen|Aantal verkochte woningen";"Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode";"Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder";"Gemiddelde verkoopprijs";"Totale waarde verkoopprijzen"
"Perioden";"2015=100";"%";"%";"aantal";"%";"%";"euro";"mln euro"
"1995";"42,5";"";"";"154568";"";"";"93750";"14491"
"2000";"80,3";"18,2";"18,2";"189358";"-7,4";"-7,4";"172050";"32579"
"2005";"106,6";"3,9";"3,9";"206629";"7,7";"7,7";"222706";"46017"
"2010";"113,0";"-2,2";"-2,2";"126127";"-1,1";"-1,1";"239530";"30211"
"2015";"100,0";"2,8";"2,8";"178293";"16,1";"16,1";"230194";"41042"
"2016";"105,0";"5,0";"5,0";"214793";"20,5";"20,5";"243837";"52374"
"2017";"113,0";"7,6";"7,6";"241860";"12,6";"12,6";"263295";"63680"
"2018";"123,2";"9,0";"9,0";"218491";"-9,7";"-9,7";"287267";"62765"
"2019 januari";"128,8";"1,8";"8,7";"15125";"-22,2";"-5,7";"302157";"4570"
"2019 februari";"128,7";"-0,1";"7,5";"15470";"2,3";"-3,9";"298717";"4621"
"2019 maart";"129,2";"0,4";"7,7";"16836";"8,8";"-15,7";"302845";"5099"
"2019 april";"129,8";"0,4";"7,7";"17303";"2,8";"6,4";"302456";"5233"
"2019 mei";"130,4";"0,4";"7,2";"19708";"13,9";"8,1";"303240";"5976"
"2019 juni";"130,9";"0,4";"6,9";"15495";"-21,4";"-15,9";"301736";"4675"
"2019 juli";"132,4";"1,1";"7,0";"21039";"35,8";"7,5";"309689";"6516"
"2019 augustus";"132,5";"0,1";"5,7";"19583";"-6,9";"-6,3";"316183";"6192"
"2019 september";"133,4";"0,7";"6,1";"18313";"-6,5";"11,3";"314225";"5754"
"2019 oktober";"134,1";"0,6";"6,3";"18804";"2,7";"0,0";"312772";"5881"
"2019 november";"134,8";"0,5";"5,8";"18346";"-2,4";"0,3";"312866";"5740"
"2019 december";"134,8";"0,0";"6,5";"22573";"23,0";"16,2";"312957";"7064"
"2019";"131,7";"6,9";"6,9";"218595";"0,0";"0,0";"307978";"67322"
"2020 januari";"136,9";"1,5";"6,3";"17525";"-22,4";"15,9";"329450";"5774"
"2020 februari";"137,2";"0,2";"6,6";"15427";"-12,0";"-0,3";"320889";"4950"
"2020 maart";"138,3";"0,8";"7,0";"18627";"20,7";"10,6";"326529";"6082"
"2020 april";"139,3";"0,7";"7,3";"18854";"1,2";"9,0";"326232";"6151"
"2020 mei";"140,4";"0,8";"7,7";"18347";"-2,7";"-6,9";"333093";"6111"
"2020 juni";"140,9";"0,3";"7,6";"17722";"-3,4";"14,4";"324195";"5745"
"2020 juli";"142,2";"0,9";"7,4";"22571";"27,4";"7,3";"336957";"7605"
"2020 augustus";"143,4";"0,9";"8,2";"19034";"-15,7";"-2,8";"336277";"6401"
"2020 september";"144,8";"1,0";"8,6";"20601";"8,2";"12,5";"345443";"7116"
"2020 oktober";"146,3";"1,1";"9,1";"22146";"7,5";"17,8";"350244";"7756"
"2020 november";"146,8";"0,3";"8,9";"18449";"-16,7";"0,6";"344217";"6350"
"2020 december";"146,1";"-0,5";"8,3";"26208";"42,1";"16,1";"333199";"8732"
"2020";"141,9";"7,8";"7,8";"235511";"7,7";"7,7";"334488";"78776"
"2021 januari";"149,7";"2,5";"9,3";"24516";"-6,5";"39,9";"357458";"8763"
"Bron: Centraal Bureau voor de Statistiek, Kadaster"
